,top_k,full_matches,partial_matches,no_matches,total_cases,recall
1,1,79,133,41,253,0.7826
2,2,89,131,33,253,0.8221
3,3,94,134,25,253,0.8498
4,4,97,131,25,253,0.8597
5,5,97,132,24,253,0.8617
6,6,98,132,23,253,0.8656
7,7,99,131,23,253,0.8696
8,8,100,132,21,253,0.8775
9,9,101,132,20,253,0.8814
10,10,102,131,20,253,0.8834
11,11,102,132,19,253,0.8854
12,12,102,132,19,253,0.8854
13,13,103,131,19,253,0.8874
14,14,103,131,19,253,0.8874
15,15,103,131,19,253,0.8893
16,16,103,131,19,253,0.8893
17,17,103,131,19,253,0.8893
18,18,104,130,19,253,0.8913
19,19,105,129,19,253,0.8933
20,20,105,129,19,253,0.8933
21,21,105,129,19,253,0.8933
22,22,106,128,19,253,0.8953
23,23,106,129,18,253,0.8972
24,24,107,128,18,253,0.8992
25,25,107,128,18,253,0.8992
26,26,107,128,18,253,0.8992
27,27,107,128,18,253,0.8992
28,28,107,128,18,253,0.8992
29,29,107,128,18,253,0.8992
30,30,107,128,18,253,0.8992
31,31,107,129,17,253,0.9012
32,32,107,129,17,253,0.9012
33,33,108,128,17,253,0.9032
34,34,108,128,17,253,0.9032
35,35,108,128,17,253,0.9032
36,36,108,128,17,253,0.9032
37,37,108,128,17,253,0.9032
38,38,108,128,17,253,0.9032
39,39,108,128,17,253,0.9032
40,40,108,128,17,253,0.9032
41,41,108,128,17,253,0.9032
42,42,108,128,17,253,0.9032
43,43,109,127,17,253,0.9051
44,44,109,127,17,253,0.9051
45,45,109,127,17,253,0.9051
46,46,109,127,17,253,0.9051
47,47,109,127,17,253,0.9051
48,48,109,127,17,253,0.9051
49,49,109,127,17,253,0.9051
50,50,109,127,17,253,0.9051
