origin_prompt,gold,prediction
阿司匹林与布洛芬的主要区别是什么？,"阿司匹林,布洛芬","['布洛芬颗粒', '阿司匹林片', '布洛芬胶囊', '布洛芬胶囊', '阿司匹林片', '布洛芬胶囊', '布洛芬胶囊', '布洛芬颗粒', '阿司匹林片', '布洛芬注射液', '阿司匹林双嘧达莫片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '布洛芬胶囊', '布洛芬片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '复方阿司匹林片', '布洛芬胶囊', '阿司匹林片', '阿司匹林片', '布洛芬颗粒', '阿司匹林片', '阿司匹林片', '阿司匹林肠溶片', '阿司匹林片', '布洛芬胶囊', '阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林栓', '阿苯达唑片', '布洛芬颗粒', '阿司匹林片', '阿司匹林片', '复方阿司匹林片', '阿司匹林缓释片', '阿莫西林颗粒', '阿司匹林片', '阿司匹林片', '阿司匹林片', '复方阿司匹林片', '布洛芬胶囊', '复方阿司匹林片']"
治疗头痛的阿司匹林和布洛芬之间有哪些相似之处和差异？,"阿司匹林,布洛芬","['布洛芬颗粒', '阿司匹林片', '布洛芬片', '布洛芬胶囊', '布洛芬胶囊', '布洛芬胶囊', '布洛芬胶囊', '阿司匹林片', '阿司匹林片', '布洛芬胶囊', '阿司匹林片', '阿司匹林片', '阿司匹林片', '布洛芬胶囊', '阿司匹林片', '阿司匹林片', '阿司匹林片', '布洛芬胶囊', '阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '布洛芬颗粒', '阿司匹林片', '阿司匹林片', '布洛芬胶囊', '复方阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '布洛芬胶囊', '布洛芬胶囊', '阿司匹林片', '复方阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '布洛芬胶囊', '布洛芬缓释胶囊', '阿司匹林片', '阿司匹林片', '布洛芬胶囊', '布洛芬胶囊']"
阿司匹林与布洛芬的关系是什么？,"阿司匹林,布洛芬","['布洛芬胶囊', '布洛芬胶囊', '布洛芬颗粒', '布洛芬胶囊', '布洛芬胶囊', '布洛芬注射液', '阿司匹林片', '布洛芬颗粒', '布洛芬胶囊', '阿司匹林双嘧达莫片', '布洛芬胶囊', '布洛芬胶囊', '布洛芬片', '阿司匹林片', '阿司匹林肠溶片', '布洛芬胶囊', '布洛芬颗粒', '布洛芬胶囊', '阿司匹林片', '布洛芬胶囊', '阿司匹林栓', '复方阿司匹林片', '布洛芬胶囊', '阿司匹林片', '阿司匹林片', '布洛芬颗粒', '阿司匹林片', '布洛芬胶囊', '布洛芬胶囊', '布洛芬糖浆', '阿司匹林片', '曲匹布通片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '醋酸阿比特龙片', '吲哚布芬片', '阿司匹林片', '阿司匹林片', '布洛芬注射液', '阿司匹林片', '复方阿司匹林片', '肌苷片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林缓释片', '阿司匹林片', '阿司匹林片', '阿司匹林片']"
阿司匹林与布洛芬同时使用是否安全？,"阿司匹林,布洛芬","['布洛芬胶囊', '布洛芬胶囊', '阿司匹林双嘧达莫片', '阿司匹林片', '阿司匹林肠溶片', '布洛芬胶囊', '布洛芬胶囊', '布洛芬胶囊', '布洛芬胶囊', '布洛芬胶囊', '阿司匹林肠溶片', '布洛芬胶囊', '布洛芬胶囊', '阿苯达唑片', '艾司唑仑片', '布洛芬片', '布洛芬胶囊', '布洛芬胶囊', '阿司匹林片', '阿司匹林片', '布洛芬颗粒', '布洛芬注射液', '艾司唑仑片', '阿司匹林片', '阿司匹林片', '布洛芬注射液', '阿司匹林片', '阿司匹林片', '布洛芬胶囊', '艾司唑仑片', '复方阿司匹林片', '阿普唑仑片', '复方阿司匹林片', '布洛芬颗粒', '阿司匹林片', '复方阿司匹林片', '阿司匹林片', '阿司匹林片', '艾司唑仑片', '布洛芬胶囊', '阿司匹林片', '复方阿司匹林片', '阿普唑仑片', '阿司匹林片', '布洛芬胶囊', '阿司匹林片', '阿司匹林片', '布洛芬搽剂', '阿苯达唑片', '复方阿司匹林片']"
帕罗西汀与阿司匹林同时使用是否安全？,"帕罗西汀,阿司匹林","['阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '复方阿司匹林片', '阿司匹林片', '复方阿司匹林片', '阿司匹林片', '阿普唑仑片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '复方阿司匹林片', '复方阿司匹林片', '阿司匹林片', '复方阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '复方阿司匹林片', '复方阿司匹林片', '阿司匹林片', '阿司匹林片', '复方阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '阿普唑仑片', '复方阿司匹林片', '复方阿司匹林片', '阿司匹林片', '复方阿司匹林片', '复方阿司匹林片', '阿司匹林片', '复方阿司匹林片', '阿普唑仑片', '复方阿司匹林片', '阿司匹林片', '阿司匹林片', '注射用帕瑞昔布钠', '阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '艾司唑仑片', '阿司匹林片']"
儿童使用阿司匹林时需要注意什么？,阿司匹林,"['阿司匹林片', '阿司匹林栓', '小儿双磺甲氧苄啶颗粒', '阿司匹林栓', '阿司匹林片', '小儿康颗粒', '阿苯片', '小儿止咳糖浆', '阿司匹林栓', '小儿感冒颗粒', '小儿氨酚匹林片', '小儿氨酚烷胺颗粒', '阿苯片', '小儿止咳糖浆', '小儿止咳糖浆', '小儿化毒胶囊', '小儿复方磺胺甲噁唑颗粒', '小儿硫酸亚铁糖浆', '小儿止咳糖浆', '小儿氨酚烷胺颗粒', '小儿止咳糖浆', '小儿氨酚匹林咖啡因片', '小儿清热止咳合剂', '小儿复方阿司匹林片', '小儿咳喘灵颗粒', '阿苯片', '阿苯片', '小儿氨酚匹林片', '小儿氨酚匹林片', '小儿硫酸亚铁糖浆', '小儿惊风散', '小儿回春丸', '小儿止咳糖浆', '小儿化痰止咳颗粒', '小儿感冒颗粒', '小儿咳喘灵颗粒', '小儿硫酸亚铁糖浆', '小儿至宝丸', '阿苯片', '小儿复方磺胺甲噁唑颗粒', '小儿止咳糖浆', '儿童咳液', '阿司匹林栓', '小儿复方磺胺甲噁唑片', '小儿化痰止咳颗粒', '小儿止咳糖浆', '小儿复方磺胺甲噁唑颗粒', '小儿惊风散', '小儿感冒颗粒', '小儿双磺甲氧苄啶颗粒']"
老年人使用布洛芬时需要注意什么？,布洛芬,"['布洛芬胶囊', '布洛芬片', '布洛芬颗粒', '布洛芬胶囊', '布洛芬胶囊', '布洛芬胶囊', '布洛芬颗粒', '布洛芬胶囊', '布洛芬胶囊', '布洛芬胶囊', '老年咳喘片', '布洛芬胶囊', '布洛芬注射液', '老年咳喘片', '布洛芬胶囊', '布洛芬胶囊', '老年咳喘片', '老年咳喘片', '布洛芬胶囊', '布洛芬颗粒', '布洛芬胶囊', '布洛芬胶囊', '布洛芬胶囊', '布洛芬胶囊', '布洛芬糖浆', '布洛芬颗粒', '布洛芬胶囊', '布洛芬胶囊', '布洛芬胶囊', '布洛芬注射液', '布洛芬胶囊', '布洛芬搽剂', '布洛芬胶囊', '老年咳喘片', '布洛芬颗粒', '布洛芬口崩片', '老年咳喘片', '老年咳喘片', '布洛芬颗粒', '抗衰老片', '布洛芬糖浆', '布洛芬搽剂', '驱白巴布期片', '维生素B1片', '布洛芬胶囊', '布洛芬注射液', '布洛芬颗粒', '布洛芬混悬液', '灯台叶片', '布洛芬乳膏']"
怀孕期间使用阿司匹林是否安全？,阿司匹林,"['保胎无忧胶囊', '安胎丸', '安胎丸', '保胎灵片', '安胎丸', '保胎无忧散', '保胎无忧片', '阿司匹林肠溶片', '安胎丸', '宫炎康颗粒', '安胎丸', '孕康颗粒', '安胎丸', '保胎无忧片', '胎宝胶囊', '保胎无忧片', '叶酸片', '安胎丸', '保胎灵片', '叶酸片', '保胎灵片', '慈航片', '安胎丸', '叶酸片', '安胎丸', '吉祥安坤丸', '保胎灵胶囊', '叶酸片', '阿司匹林片', '阿司匹林片', '抗宫炎片', '安胎丸', '阿司匹林片', '孕康口服液', '阿普唑仑片', '米非司酮片', '胎宝胶囊', '孕康口服液', '胎宝胶囊', '安胎丸', '慈航片', '千金保孕丸', '胎宝胶囊', '产妇安合剂', '十二太保丸', '消炎镇痛膏', '抗宫炎胶囊', '阿司匹林片', '慈航胶囊', '消肿镇痛膏']"
哺乳期使用布洛芬是否安全？,布洛芬,"['布洛芬乳膏', '布洛芬胶囊', '布洛芬颗粒', '母乳多颗粒', '布洛芬胶囊', '布洛芬搽剂', '布洛芬胶囊', '布洛芬胶囊', '布洛芬颗粒', '布洛芬注射液', '布洛芬胶囊', '布洛芬胶囊', '布洛芬胶囊', '布洛芬乳膏', '布洛芬胶囊', '布洛芬颗粒', '布洛芬胶囊', '乳康丸', '布洛芬胶囊', '布洛芬凝胶', '宝宝乐颗粒', '布洛芬胶囊', '催乳丸', '复方布洛芬凝胶', '保胎无忧散', '宝宝乐颗粒', '布洛芬糖浆', '娃娃宁', '宝宝乐颗粒', '布洛芬注射液', '乳康胶囊', '布洛芬胶囊', '保婴散', '母乳多颗粒', '婴儿健脾散', '布洛芬搽剂', '宝宝乐颗粒', '婴儿健脾散', '布洛芬片', '布洛芬胶囊', '婴儿健脾散', '布洛芬胶囊', '乳泉颗粒', '宝宝乐颗粒', '保胎无忧片', '乳泉颗粒', '婴儿健脾散', '生乳汁', '布洛芬混悬液', '婴儿健脾散']"
服用益肝灵有什么要注意的？,益肝灵,"['益肝灵片', '益肝灵片', '益肝灵片', '益肝灵片', '益肝灵片', '益肝灵片', '益肝灵滴丸', '益肝灵片', '益肝灵片', '益肝灵片', '益肝灵片', '益肝灵片', '益肝灵片', '益肝灵片', '益肝灵片', '益肝灵片', '益肝灵片', '益肝灵片', '益肝灵滴丸', '益肝灵片', '益肝灵片', '益肝灵片', '益肝灵滴丸', '益肝灵片', '益肝灵片', '益肝灵片', '益肝灵片', '益肝灵片', '益肝灵胶囊', '益肝灵片', '益肝灵片', '益肝灵胶囊', '益肝灵片', '益肝灵片', '益肝灵片', '益肝灵片', '益肝颗粒', '益肝灵片', '益肝灵片', '益肝灵片', '益肝灵片', '益肝灵片', '益肝颗粒', '益肝灵片', '益肝灵片', '益肝灵片', '益肝灵片', '益肝灵滴丸', '益肝颗粒', '益肝灵片']"
