origin_prompt,gold,prediction
阿司匹林与布洛芬的主要区别是什么？,"阿司匹林,布洛芬","['阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '复方阿司匹林片', '布洛芬片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '复方阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林肠溶片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林片']"
治疗头痛的阿司匹林和布洛芬之间有哪些相似之处和差异？,"阿司匹林,布洛芬","['阿司匹林片', '阿司匹林片', '阿司匹林片', '复方阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '复方阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林肠溶片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '复方阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林栓', '阿司匹林片', '阿司匹林片', '阿司匹林片', '复方阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '布洛芬片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '复方阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '复方阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林片']"
阿司匹林与布洛芬的关系是什么？,"阿司匹林,布洛芬","['阿司匹林片', '布洛芬注射液', '阿司匹林片', '阿司匹林片', '布洛芬注射液', '阿司匹林肠溶片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '布洛芬片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '复方阿司匹林片', '阿司匹林片', '布洛芬注射液', '阿司匹林泡腾片', '阿司匹林泡腾片', '阿司匹林片', '阿司匹林片', '复方阿司匹林片', '布洛芬注射液', '布洛芬颗粒', '右布洛芬口服混悬液', '阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '布洛芬混悬液', '阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '布洛芬混悬液', '阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林泡腾片', '阿司匹林片', '阿司匹林缓释片', '阿司匹林片', '阿司匹林片', '复方阿司匹林片']"
阿司匹林与布洛芬同时使用是否安全？,"阿司匹林,布洛芬","['阿司匹林肠溶片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '布洛芬注射液', '阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林肠溶片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林泡腾片', '阿司匹林肠溶片', '复方阿司匹林片', '阿司匹林片', '阿司匹林肠溶片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林肠溶片', '阿司匹林片', '阿司匹林片', '阿司匹林肠溶片', '阿司匹林片', '布洛芬注射液', '布洛芬注射液', '阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '布洛芬注射液', '阿司匹林片', '布洛芬注射液']"
帕罗西汀与阿司匹林同时使用是否安全？,"帕罗西汀,阿司匹林","['阿司匹林肠溶片', '注射用帕瑞昔布钠', '盐酸帕洛诺司琼注射液', '盐酸帕罗西汀片', '阿司匹林肠溶片', '注射用帕瑞昔布钠', '阿司匹林肠溶片', '注射用帕瑞昔布钠', '阿司匹林片', '阿司匹林肠溶片', '注射用帕瑞昔布钠', '注射用帕瑞昔布钠', '阿司匹林肠溶片', '阿司匹林肠溶片', '阿司匹林肠溶片', '盐酸罗匹尼罗片', '注射用帕瑞昔布钠', '阿司匹林片', '阿司匹林肠溶片', '阿司匹林肠溶片', '阿司匹林肠溶片', '盐酸帕罗西汀片', '注射用帕瑞昔布钠', '注射用帕瑞昔布钠', '替格瑞洛片', '阿司匹林肠溶片', '阿司匹林片', '阿司匹林肠溶片', '注射用帕瑞昔布钠', '阿司匹林肠溶胶囊', '阿司匹林肠溶片', '阿司匹林肠溶片', '阿司匹林肠溶片', '阿司匹林肠溶片', '注射用帕瑞昔布钠', '阿司匹林肠溶片', '阿司匹林肠溶片', '阿司匹林肠溶片', '注射用帕瑞昔布钠', '阿司匹林肠溶片', '阿司匹林肠溶片', '阿司匹林肠溶片', '阿司匹林片', '注射用帕瑞昔布钠', '阿司匹林片', '阿司匹林肠溶片', '注射用帕瑞昔布钠', '阿司匹林肠溶片', '阿司匹林肠溶片', '阿司匹林片']"
儿童使用阿司匹林时需要注意什么？,阿司匹林,"['阿司匹林栓', '阿司匹林栓', '阿司匹林肠溶片', '阿司匹林肠溶片', '阿司匹林栓', '阿司匹林片', '阿司匹林栓', '小儿复方阿司匹林片', '阿司匹林片', '阿司匹林栓', '阿司匹林栓', '阿司匹林肠溶片', '阿司匹林片', '阿司匹林泡腾片', '阿司匹林栓', '阿司匹林片', '阿司匹林片', '阿司匹林肠溶片', '阿司匹林片', '阿司匹林肠溶片', '阿司匹林片', '阿司匹林泡腾片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林肠溶片', '阿司匹林片', '阿司匹林肠溶片', '复方阿司匹林片', '阿司匹林泡腾片', '阿司匹林肠溶片', '阿司匹林肠溶片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林肠溶片', '阿司匹林肠溶片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林肠溶片', '阿司匹林片', '阿司匹林片', '阿司匹林肠溶片', '阿司匹林片']"
老年人使用布洛芬时需要注意什么？,布洛芬,"['布洛芬软胶囊', '布洛芬胶囊', '布洛芬注射液', '布洛芬胶囊', '布洛芬注射液', '布洛芬胶囊', '布洛芬注射液', '布洛芬胶囊', '布洛芬胶囊', '布洛芬注射液', '布洛芬片', '布洛芬胶囊', '布洛芬胶囊', '布洛芬颗粒', '布洛芬糖浆', '布洛芬胶囊', '布洛芬糖浆', '布洛芬胶囊', '布洛芬口崩片', '布洛芬注射液', '布洛芬胶囊', '布洛芬颗粒', '布洛芬胶囊', '布洛芬缓释胶囊', '布洛芬颗粒', '布洛芬糖浆', '布洛芬缓释胶囊', '布洛芬胶囊', '布洛芬缓释胶囊', '布洛芬泡腾片', '布洛芬口服溶液', '布洛芬注射液', '布洛芬胶囊', '布洛芬颗粒', '布洛芬缓释胶囊', '布洛芬搽剂', '布洛芬糖浆', '布洛芬搽剂', '布洛芬胶囊', '布洛芬颗粒', '布洛芬口崩片', '布洛芬缓释胶囊', '布洛芬胶囊', '布洛芬缓释胶囊', '布洛芬口崩片', '布洛芬胶囊', '布洛芬缓释胶囊', '布洛芬缓释片', '布洛芬胶囊', '布洛芬颗粒']"
怀孕期间使用阿司匹林是否安全？,阿司匹林,"['阿司匹林片', '阿司匹林肠溶片', '阿司匹林片', '阿司匹林肠溶片', '阿司匹林片', '阿司匹林片', '阿司匹林肠溶片', '阿司匹林片', '阿司匹林片', '阿司匹林肠溶片', '阿司匹林肠溶片', '阿司匹林片', '阿司匹林肠溶片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林栓', '阿司匹林肠溶片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林肠溶片', '阿司匹林片', '阿司匹林片', '阿司匹林肠溶片', '阿司匹林片', '阿司匹林片', '阿司匹林泡腾片', '阿司匹林片', '阿司匹林泡腾片', '阿司匹林片', '阿司匹林肠溶片', '阿司匹林肠溶片', '阿司匹林片', '阿司匹林肠溶片', '阿司匹林肠溶片', '阿司匹林片', '阿司匹林片', '阿司匹林肠溶片', '阿司匹林肠溶片', '阿司匹林肠溶片', '阿司匹林片', '阿司匹林片', '阿司匹林片', '阿司匹林肠溶片', '阿司匹林片', '阿司匹林片', '阿司匹林片']"
哺乳期使用布洛芬是否安全？,布洛芬,"['布洛芬搽剂', '布洛芬混悬液', '布洛芬颗粒', '布洛芬注射液', '布洛芬缓释胶囊', '布洛芬糖浆', '小儿布洛芬栓', '布洛芬注射液', '布洛芬糖浆', '布洛芬糖浆', '布洛芬注射液', '布洛芬混悬液', '布洛芬颗粒', '布洛芬分散片', '布洛芬胶囊', '布洛芬注射液', '布洛芬胶囊', '小儿布洛芬栓', '布洛芬颗粒', '布洛芬乳膏', '布洛芬注射液', '布洛芬胶囊', '布洛芬干混悬剂', '布洛芬口服溶液', '小儿布洛芬栓', '布洛芬搽剂', '布洛芬分散片', '布洛芬胶囊', '布洛芬胶囊', '布洛芬软胶囊', '布洛芬混悬液', '小儿布洛芬栓', '布洛芬糖浆', '布洛芬片', '布洛芬缓释胶囊', '布洛芬混悬液', '布洛芬混悬液', '布洛芬颗粒', '布洛芬颗粒', '布洛芬注射液', '布洛芬胶囊', '布洛芬注射液', '布洛芬混悬液', '布洛芬颗粒', '布洛芬口崩片', '布洛芬乳膏', '布洛芬胶囊', '布洛芬泡腾片', '布洛芬咀嚼片', '布洛芬胶囊']"
服用益肝灵有什么要注意的？,益肝灵,"['益肝灵片', '益肝灵片', '益肝灵片', '益肝灵片', '益肝灵软胶囊', '益肝灵片', '益肝灵片', '复方益肝灵片', '益肝灵片', '益肝灵片', '益肝灵片', '益肝灵片', '益肝灵片', '复方益肝灵片', '益肝灵片', '益肝灵片', '复方益肝灵片', '益肝灵片', '益肝灵片', '益肝灵片', '益肝灵片', '益肝灵片', '益肝灵软胶囊', '益肝灵片', '益肝灵片', '益肝灵片', '复方益肝灵片', '益肝灵片', '益肝灵片', '益肝灵片', '复方益肝灵胶囊', '益肝灵片', '益肝灵片', '益肝灵片', '益肝灵片', '益肝灵片', '益肝灵片', '复方益肝灵片', '益肝灵胶囊', '益肝灵片', '益肝灵片', '益肝灵胶囊', '益肝灵片', '益肝灵片', '益肝灵片', '益肝灵片', '益肝灵片', '益肝灵片', '益肝灵片', '益肝灵片']"
服用布洛芬时，应避免使用哪些其他药物？,布洛芬,"['布洛芬颗粒', '布洛芬片', '布洛芬混悬液', '布洛芬糖浆', '布洛芬糖浆', '布洛芬糖浆', '布洛芬胶囊', '布洛芬注射液', '布洛芬颗粒', '布洛芬注射液', '布洛芬胶囊', '布洛芬胶囊', '布洛芬注射液', '布洛芬颗粒', '布洛芬胶囊', '布洛芬胶囊', '布洛芬胶囊', '布洛芬胶囊', '布洛芬缓释胶囊', '布洛芬缓释胶囊', '布洛芬缓释片', '布洛芬缓释片', '布洛芬注射液', '布洛芬口服溶液', '布洛芬缓释胶囊', '右布洛芬口服混悬液', '布洛芬缓释胶囊', '布洛芬胶囊', '布洛芬缓释胶囊', '布洛芬缓释片', '布洛芬颗粒', '布洛芬软胶囊', '布洛芬胶囊', '布洛芬胶囊', '布洛芬软胶囊', '布洛芬颗粒', '布洛芬胶囊', '布洛芬胶囊', '布洛芬缓释胶囊', '布洛芬缓释胶囊', '布洛芬颗粒', '布洛芬糖浆', '布洛芬缓释胶囊', '布洛芬胶囊', '布洛芬缓释胶囊', '布洛芬缓释片', '布洛芬胶囊', '布洛芬缓释胶囊', '布洛芬颗粒', '布洛芬胶囊']"
服用帕罗西汀时，应避免使用哪些其他药物？,帕罗西汀,"['盐酸帕罗西汀片', '盐酸帕罗西汀片', '盐酸帕罗西汀片', '盐酸帕罗西汀片', '盐酸帕罗西汀肠溶缓释片', '盐酸帕罗西汀肠溶缓释片', '盐酸帕罗西汀肠溶缓释片', '盐酸帕罗西汀片', '盐酸帕罗西汀肠溶缓释片', '罗替高汀贴片', '罗替高汀贴片', '盐酸帕罗西汀片', '罗替高汀贴片', '盐酸帕洛诺司琼注射液', '左旋多巴片', '帕司烟肼片', '注射用帕瑞昔布钠', '注射用帕瑞昔布钠', '帕司烟肼片', '司莫司汀胶囊', '盐酸罗匹尼罗片', '帕司烟肼片', '左旋多巴片', '注射用帕瑞昔布钠', '盐酸普罗帕酮片', '注射用帕瑞昔布钠', '司帕沙星片', '帕司烟肼片', '罗替高汀贴片', '注射用帕瑞昔布钠', '左旋多巴片', '注射用帕瑞昔布钠', '帕司烟肼片', '盐酸普罗帕酮片', '帕司烟肼片', '棕榈酸帕利哌酮注射液', '左旋多巴片', '左旋多巴片', '左旋多巴片', '注射用帕瑞昔布钠', '左旋多巴片', '注射用帕瑞昔布钠', '盐酸普罗帕酮片', '托卡朋片', '盐酸普罗帕酮片', '盐酸普罗帕酮片', '甲苯磺酸拉帕替尼片', '盐酸普罗帕酮片', '司帕沙星片', '左旋多巴片']"
